doc_id,obra_id,unidad_id,unidad_tipo,titulo,autor,year_first_pub,decada_norm,genero_macro_normalizado,lengua,circuito,total_tokens,estructura_social_count,estructura_social_densidad,mediaciones_transatlanticas_count,mediaciones_transatlanticas_densidad,movilidad_orientacion_salida_count,movilidad_orientacion_salida_densidad,pobreza_hambre_alimentacion_count,pobreza_hambre_alimentacion_densidad,terra_casa_pertenencia_count,terra_casa_pertenencia_densidad,trabajo_deuda_count,trabajo_deuda_densidad,violencia_conflicto_count,violencia_conflicto_densidad
castelao_os_dous_de_sempre__cap_014,castelao_os_dous_de_sempre,cap_014,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,507,0,0.0,0,0.0,0,0.0,1,19.72,2,39.45,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_015,castelao_os_dous_de_sempre,cap_015,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,361,0,0.0,0,0.0,0,0.0,2,55.4,1,27.7,2,55.4,0,0.0
castelao_os_dous_de_sempre__cap_016,castelao_os_dous_de_sempre,cap_016,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,529,4,75.61,0,0.0,0,0.0,0,0.0,4,75.61,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_017,castelao_os_dous_de_sempre,cap_017,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,314,1,31.85,0,0.0,0,0.0,0,0.0,3,95.54,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_018,castelao_os_dous_de_sempre,cap_018,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,460,0,0.0,1,21.74,0,0.0,6,130.43,0,0.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_019,castelao_os_dous_de_sempre,cap_019,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,475,0,0.0,2,42.11,0,0.0,1,21.05,1,21.05,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_020,castelao_os_dous_de_sempre,cap_020,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,367,2,54.5,0,0.0,0,0.0,3,81.74,1,27.25,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_021,castelao_os_dous_de_sempre,cap_021,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,488,1,20.49,0,0.0,0,0.0,1,20.49,1,20.49,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_022,castelao_os_dous_de_sempre,cap_022,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,442,1,22.62,0,0.0,0,0.0,4,90.5,0,0.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_023,castelao_os_dous_de_sempre,cap_023,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,458,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_024,castelao_os_dous_de_sempre,cap_024,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,375,1,26.67,0,0.0,0,0.0,1,26.67,6,160.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_025,castelao_os_dous_de_sempre,cap_025,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,408,0,0.0,0,0.0,0,0.0,0,0.0,3,73.53,1,24.51,0,0.0
castelao_os_dous_de_sempre__cap_026,castelao_os_dous_de_sempre,cap_026,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,494,2,40.49,0,0.0,0,0.0,0,0.0,2,40.49,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_027,castelao_os_dous_de_sempre,cap_027,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,457,1,21.88,0,0.0,0,0.0,1,21.88,2,43.76,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_028,castelao_os_dous_de_sempre,cap_028,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,435,0,0.0,0,0.0,0,0.0,0,0.0,1,22.99,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_029,castelao_os_dous_de_sempre,cap_029,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,491,0,0.0,0,0.0,0,0.0,1,20.37,1,20.37,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_030,castelao_os_dous_de_sempre,cap_030,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,453,0,0.0,0,0.0,0,0.0,1,22.08,0,0.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_031,castelao_os_dous_de_sempre,cap_031,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,488,1,20.49,1,20.49,0,0.0,1,20.49,1,20.49,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_032,castelao_os_dous_de_sempre,cap_032,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,426,0,0.0,0,0.0,0,0.0,4,93.9,0,0.0,1,23.47,0,0.0
castelao_os_dous_de_sempre__cap_033,castelao_os_dous_de_sempre,cap_033,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,423,0,0.0,0,0.0,0,0.0,1,23.64,1,23.64,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_034,castelao_os_dous_de_sempre,cap_034,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,442,0,0.0,3,67.87,5,113.12,3,67.87,1,22.62,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_035,castelao_os_dous_de_sempre,cap_035,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,415,0,0.0,0,0.0,5,120.48,3,72.29,2,48.19,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_036,castelao_os_dous_de_sempre,cap_036,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,522,0,0.0,0,0.0,0,0.0,1,19.16,1,19.16,1,19.16,0,0.0
