doc_id,obra_id,unidad_id,unidad_tipo,titulo,autor,year_first_pub,decada_norm,genero_macro_normalizado,lengua,circuito,total_tokens,estructura_social_count,estructura_social_densidad,mediaciones_transatlanticas_count,mediaciones_transatlanticas_densidad,movilidad_orientacion_salida_count,movilidad_orientacion_salida_densidad,pobreza_hambre_alimentacion_count,pobreza_hambre_alimentacion_densidad,terra_casa_pertenencia_count,terra_casa_pertenencia_densidad,trabajo_deuda_count,trabajo_deuda_densidad,violencia_conflicto_count,violencia_conflicto_densidad
la_senorita_aglae__cuento_001,la_senorita_aglae,cuento_001,cuento,La Señorita Aglae,Emilia Pardo Bazán,1922,1920,cuento,es,,1627,12,73.76,0,0.0,8,49.17,0,0.0,7,43.02,0,0.0,3,18.44
las_caras__cuento_001,las_caras,cuento_001,cuento,Las Caras,Emilia Pardo Bazán,1910,1910,cuento,es,,1464,5,34.15,2,13.66,1,6.83,2,13.66,3,20.49,1,6.83,1,6.83
las_cutres__cuento_001,las_cutres,cuento_001,cuento,"Las ""Cutres""",Emilia Pardo Bazán,1910,1910,cuento,es,,1429,4,27.99,0,0.0,0,0.0,1,7.0,6,41.99,6,41.99,1,7.0
las_tapias_del_campo_santo__cuento_001,las_tapias_del_campo_santo,cuento_001,cuento,Las Tapias del Campo Santo,Emilia Pardo Bazán,1892,1890,cuento,es,,3416,2,5.85,0,0.0,2,5.85,2,5.85,9,26.35,5,14.64,3,8.78
madrugueiro__cuento_001,madrugueiro,cuento_001,cuento,Madrugueiro,Emilia Pardo Bazán,1922,1920,cuento,es,,1543,12,77.77,1,6.48,6,38.89,0,0.0,18,116.66,0,0.0,1,6.48
manuel_antonio_de_catro_a_catro_tei__poesia_001,manuel_antonio_de_catro_a_catro_tei,poesia_001,poesia,De catro a catro,Manuel Antonio,1940,1940,poesia,gl,A Coruña,5386,0,0.0,13,24.14,13,24.14,0,0.0,13,24.14,0,0.0,1,1.86
morrion_y_boina__cuento_001,morrion_y_boina,cuento_001,cuento,Morrión y Boina,Emilia Pardo Bazán,1892,1890,cuento,es,,9209,81,87.96,13,14.12,2,2.17,5,5.43,33,35.83,1,1.09,13,14.12
nieto_del_cid__cuento_001,nieto_del_cid,cuento_001,cuento,Nieto del Cid,Emilia Pardo Bazán,1900,1900,cuento,es,,2833,59,208.26,1,3.53,0,0.0,13,45.89,7,24.71,1,3.53,9,31.77
poema_humilde__poesia_001,poema_humilde,poesia_001,poesia,Poema Humilde,Emilia Pardo Bazán,1900,1900,poesia,es,,1656,4,24.15,4,24.15,5,30.19,3,18.12,11,66.43,2,12.08,1,6.04
por_el_arte__cuento_001,por_el_arte,cuento_001,cuento,Por el Arte,Emilia Pardo Bazán,1891,1890,cuento,es,,9388,11,11.72,3,3.2,3,3.2,4,4.26,22,23.43,1,1.07,4,4.26
punteria__cuento_001,punteria,cuento_001,cuento,Puntería,Emilia Pardo Bazán,1892,1890,cuento,es,,1794,1,5.57,0,0.0,4,22.3,3,16.72,4,22.3,1,5.57,6,33.44
queixumes_dos_pinos__poesia_001,queixumes_dos_pinos,poesia_001,poesia,Queixumes dos pinos,Eduardo Pondal,1886,1880,poesia,gl,Galicia,37497,24,6.4,6,1.6,21,5.6,3,0.8,154,41.07,20,5.33,6,1.6
retrincos__cuento_001,retrincos,cuento_001,cuento,Retrincos,Alfonso Daniel Rodriguez Castelao,1934,1930,cuento,gl,Galicia,6551,13,19.84,6,9.16,21,32.06,10,15.26,25,38.16,0,0.0,2,3.05
romance_de_lobos__sec_001,romance_de_lobos,sec_001,seccion,Romance de lobos,Ramón del Valle-Inclán,1908,1900,teatro,es,,617,2,32.41,2,32.41,1,16.21,0,0.0,3,48.62,0,0.0,6,97.24
santiago_el_mudo__cuento_001,santiago_el_mudo,cuento_001,cuento,Santiago el Mudo,Emilia Pardo Bazán,1894,1890,cuento,es,,1788,22,123.04,0,0.0,6,33.56,2,11.19,10,55.93,2,11.19,1,5.59
sempre_en_galiza_castelao_tei__unidad_001,sempre_en_galiza_castelao_tei,unidad_001,unidad_unica,Sempre en Galiza,Alfonso Daniel Rodriguez Castelao,1944,1940,ensayo,gl,Buenos Aires,166148,309,18.6,90,5.42,179,10.77,77,4.63,529,31.84,248,14.93,57,3.43
supersticiones_de_galicia_y_preocupaciones_vulgares_tei__unidad_001,supersticiones_de_galicia_y_preocupaciones_vulgares_tei,unidad_001,unidad_unica,Supersticiones de Galicia y preocupaciones vulgares,Xesús Rodríguez López,1943,1940,ensayo,es,Buenos Aires,55644,195,35.04,35,6.29,14,2.52,62,11.14,105,18.87,51,9.17,95,17.07
testigo_irrecusable__cuento_001,testigo_irrecusable,cuento_001,cuento,Testigo Irrecusable,Emilia Pardo Bazán,1917,1910,cuento,es,,1695,6,35.4,1,5.9,1,5.9,0,0.0,3,17.7,0,0.0,1,5.9
una_pasion__cuento_001,una_pasion,cuento_001,cuento,Una Pasión,Emilia Pardo Bazán,1909,1900,cuento,es,,3345,19,56.8,3,8.97,0,0.0,6,17.94,15,44.84,6,17.94,0,0.0
viernes_santo__cuento_001,viernes_santo,cuento_001,cuento,Viernes Santo,Emilia Pardo Bazán,1891,1890,cuento,es,,4091,33,80.66,1,2.44,1,2.44,2,4.89,26,63.55,4,9.78,14,34.22
